2018-04-16 14:49:16,552 [Worker-3] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2018-04-16 15:04:50,947 [Worker-3] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2018-04-16 15:05:31,794 [Worker-5] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.kh:finalPro:1.0.0-BUILD-SNAPSHOT @ C:\finalProject5\finalProject2\finalPro\pom.xml.
2018-04-16 15:05:33,791 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2018-04-16 15:05:33,844 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 22 resources
2018-04-16 15:05:34,005 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2018-04-16 15:05:34,014 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2018-04-16 15:06:24,667 [Worker-10] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2018-04-16 15:06:24,830 [Worker-10] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 22 resources
2018-04-16 15:06:27,204 [Worker-10] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2018-04-16 15:06:27,221 [Worker-10] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2018-04-16 15:07:15,994 [Worker-1] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.kh:finalPro:1.0.0-BUILD-SNAPSHOT @ C:\finalProject5\finalProject2\finalPro\pom.xml.
2018-04-16 15:07:20,463 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2018-04-16 15:07:20,590 [Worker-7] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 22 resources
2018-04-16 15:07:20,893 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2018-04-16 15:07:20,916 [Worker-7] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2018-04-16 15:10:39,758 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2018-04-16 15:10:39,800 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 22 resources
2018-04-16 15:10:39,808 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2018-04-16 15:10:39,817 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-04-16 15:13:41,548 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2018-04-16 15:13:41,567 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 22 resources
2018-04-16 15:13:41,583 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2018-04-16 15:13:41,600 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-04-16 15:17:35,786 [Worker-1] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
