127.0.0.1 - - [02/Apr/2018:22:40:21 +0900] "GET / HTTP/1.1" 404 994
127.0.0.1 - - [02/Apr/2018:22:40:39 +0900] "GET /semi HTTP/1.1" 302 -
127.0.0.1 - - [02/Apr/2018:22:40:39 +0900] "GET /semi/ HTTP/1.1" 200 22894
127.0.0.1 - - [02/Apr/2018:22:40:39 +0900] "GET /semi/js/jquery-3.3.1.min.js HTTP/1.1" 200 86927
127.0.0.1 - - [02/Apr/2018:22:40:39 +0900] "GET /semi/cssintro/bootstrap.min.css HTTP/1.1" 200 144877
127.0.0.1 - - [02/Apr/2018:22:40:39 +0900] "GET /semi/css/bootstrap.min.css HTTP/1.1" 200 127343
127.0.0.1 - - [02/Apr/2018:22:40:39 +0900] "GET /semi/cssintro/modern-business.css HTTP/1.1" 200 632
127.0.0.1 - - [02/Apr/2018:22:40:39 +0900] "GET /semi/css/1-col-portfolio.css HTTP/1.1" 200 397
127.0.0.1 - - [02/Apr/2018:22:40:39 +0900] "GET /semi/jqueryintro/bootstrap.bundle.min.js HTTP/1.1" 200 67742
127.0.0.1 - - [02/Apr/2018:22:40:39 +0900] "GET /semi/jqueryintro/jquery.min.js HTTP/1.1" 200 86927
127.0.0.1 - - [02/Apr/2018:22:40:39 +0900] "GET /semi/images/introimg6.jpg HTTP/1.1" 404 1044
127.0.0.1 - - [02/Apr/2018:22:40:39 +0900] "GET /semi/jquery/bootstrap.bundle.min.js HTTP/1.1" 200 69453
127.0.0.1 - - [02/Apr/2018:22:40:39 +0900] "GET /semi/images/date.png HTTP/1.1" 200 6167
127.0.0.1 - - [02/Apr/2018:22:40:39 +0900] "GET /semi/jquery/jquery.min.js HTTP/1.1" 200 86659
127.0.0.1 - - [02/Apr/2018:22:40:41 +0900] "GET /semi/introbest HTTP/1.1" 200 698
127.0.0.1 - - [02/Apr/2018:22:40:41 +0900] "GET /semi/introbest HTTP/1.1" 200 698
127.0.0.1 - - [02/Apr/2018:22:40:41 +0900] "GET /semi/introbest HTTP/1.1" 200 698
127.0.0.1 - - [02/Apr/2018:22:40:41 +0900] "GET /semi/introbest HTTP/1.1" 200 698
127.0.0.1 - - [02/Apr/2018:22:40:41 +0900] "GET /semi/introbest HTTP/1.1" 200 698
127.0.0.1 - - [02/Apr/2018:22:40:41 +0900] "GET /semi/introbest HTTP/1.1" 200 698
127.0.0.1 - - [02/Apr/2018:22:40:42 +0900] "GET /semi/introbest HTTP/1.1" 200 698
127.0.0.1 - - [02/Apr/2018:22:40:42 +0900] "GET /semi/introbest HTTP/1.1" 200 698
127.0.0.1 - - [02/Apr/2018:22:40:42 +0900] "GET /semi/introbest HTTP/1.1" 200 698
127.0.0.1 - - [02/Apr/2018:22:40:42 +0900] "GET /semi/introbest HTTP/1.1" 200 698
127.0.0.1 - - [02/Apr/2018:22:40:42 +0900] "GET /semi/introbest HTTP/1.1" 200 698
127.0.0.1 - - [02/Apr/2018:22:40:42 +0900] "GET /semi/introbest HTTP/1.1" 200 698
127.0.0.1 - - [02/Apr/2018:22:40:43 +0900] "GET /semi/introbest HTTP/1.1" 200 698
127.0.0.1 - - [02/Apr/2018:22:40:43 +0900] "GET /semi/introbest HTTP/1.1" 200 698
127.0.0.1 - - [02/Apr/2018:22:40:43 +0900] "GET /semi/introbest HTTP/1.1" 200 698
127.0.0.1 - - [02/Apr/2018:22:40:43 +0900] "GET /semi/introbest HTTP/1.1" 200 698
127.0.0.1 - - [02/Apr/2018:22:40:43 +0900] "GET /semi/introbest HTTP/1.1" 200 698
127.0.0.1 - - [02/Apr/2018:22:40:43 +0900] "GET /semi/introbest HTTP/1.1" 200 698
127.0.0.1 - - [02/Apr/2018:22:40:43 +0900] "GET /favicon.ico HTTP/1.1" 404 1016
127.0.0.1 - - [02/Apr/2018:22:40:43 +0900] "GET /semi/images/hongikuniv.jpg HTTP/1.1" 200 185439
127.0.0.1 - - [02/Apr/2018:22:40:43 +0900] "GET /semi/images/GW_gamsung3.PNG HTTP/1.1" 200 1553222
127.0.0.1 - - [02/Apr/2018:22:40:43 +0900] "GET /semi/images/lottehotel1.jpg HTTP/1.1" 200 199406
127.0.0.1 - - [02/Apr/2018:22:40:44 +0900] "GET /semi/introbest HTTP/1.1" 200 698
127.0.0.1 - - [02/Apr/2018:22:40:44 +0900] "GET /semi/introbest HTTP/1.1" 200 698
127.0.0.1 - - [02/Apr/2018:22:40:44 +0900] "GET /semi/introbest HTTP/1.1" 200 698
127.0.0.1 - - [02/Apr/2018:22:40:44 +0900] "GET /semi/introbest HTTP/1.1" 200 698
127.0.0.1 - - [02/Apr/2018:22:40:44 +0900] "GET /semi/introbest HTTP/1.1" 200 698
127.0.0.1 - - [02/Apr/2018:22:40:44 +0900] "GET /semi/images/hongdaeplayground.jpg HTTP/1.1" 200 179559
127.0.0.1 - - [02/Apr/2018:22:40:44 +0900] "GET /semi/images/hongdaestreet.jpg HTTP/1.1" 200 240368
127.0.0.1 - - [02/Apr/2018:22:40:57 +0900] "POST /semi/login HTTP/1.1" 302 -
127.0.0.1 - - [02/Apr/2018:22:40:57 +0900] "GET /semi/views/member/memberError.jsp HTTP/1.1" 200 266
127.0.0.1 - - [02/Apr/2018:22:40:59 +0900] "GET /semi/introbest HTTP/1.1" 200 698
127.0.0.1 - - [02/Apr/2018:22:40:59 +0900] "GET /semi/introbest HTTP/1.1" 200 698
127.0.0.1 - - [02/Apr/2018:22:41:00 +0900] "GET /semi/introbest HTTP/1.1" 200 698
127.0.0.1 - - [02/Apr/2018:22:41:00 +0900] "GET /semi/introbest HTTP/1.1" 200 698
127.0.0.1 - - [02/Apr/2018:22:41:00 +0900] "GET /semi/introbest HTTP/1.1" 200 698
127.0.0.1 - - [02/Apr/2018:22:41:00 +0900] "GET /semi/introbest HTTP/1.1" 200 698
127.0.0.1 - - [02/Apr/2018:22:41:00 +0900] "GET /semi/introbest HTTP/1.1" 200 698
127.0.0.1 - - [02/Apr/2018:22:41:00 +0900] "GET /semi/introbest HTTP/1.1" 200 698
127.0.0.1 - - [02/Apr/2018:22:41:00 +0900] "GET /semi/introbest HTTP/1.1" 200 698
127.0.0.1 - - [02/Apr/2018:22:41:00 +0900] "GET /semi/introbest HTTP/1.1" 200 698
127.0.0.1 - - [02/Apr/2018:22:41:01 +0900] "GET /semi/introbest HTTP/1.1" 200 698
127.0.0.1 - - [02/Apr/2018:22:41:01 +0900] "GET /semi/introbest HTTP/1.1" 200 698
127.0.0.1 - - [02/Apr/2018:22:41:01 +0900] "GET /semi/introbest HTTP/1.1" 200 698
127.0.0.1 - - [02/Apr/2018:22:41:01 +0900] "GET /semi/introbest HTTP/1.1" 200 698
127.0.0.1 - - [02/Apr/2018:22:41:01 +0900] "GET /semi/introbest HTTP/1.1" 200 698
127.0.0.1 - - [02/Apr/2018:22:41:01 +0900] "GET /semi/introbest HTTP/1.1" 200 698
127.0.0.1 - - [02/Apr/2018:22:41:01 +0900] "GET /semi/introbest HTTP/1.1" 200 698
127.0.0.1 - - [02/Apr/2018:22:41:02 +0900] "GET /semi/introbest HTTP/1.1" 200 698
127.0.0.1 - - [02/Apr/2018:22:41:02 +0900] "GET /semi/introbest HTTP/1.1" 200 698
127.0.0.1 - - [02/Apr/2018:22:41:02 +0900] "GET /semi/introbest HTTP/1.1" 200 698
